n,source_id,acronym,meur,titre,resume_court,label_propose,raison
15,821375,PHP2,1.49,Pulsating Heat Pipes for Hybrid Propulsion systems,"As part of H2020 program, Clean Sky 2, the present topic is associated within WP1.6 “Demonstration of Radical Aircraft Configurations” and more specifically subWP1.6.2 “Hybrid Power Bench Development and Testing”. It aims at using Pulsating Heat Pipes (PHP) to exchange large amounts of energy for the cooling of different elements.The solution proposed here is to develop a very detailed 1D simulati",core,Le texte porte « aircraft » — objet développé apparemment aéronautique.
16,945549,GAM-2020-ECO,3.57,Eco-Design Transverse Activity,"Integrating ecologic, economic and socio-economic effects, ecoDESIGN will strongly contribute to sustainability and future competitiveness of the European aviation industry according the European Eco innovation agenda. It covers the assessment of materials, processes and resources (MPR) employed along the entire aircraft life cycle. Based on the fundamental structure of eight Eco themes , ecoDESIG",core,"Le texte porte « aviation », « aircraft » — objet développé apparemment aéronautique."
17,285842,HIPE AE 440,5.45,Diesel Powerpack for a Light Helicopter Demonstrator,"Within the last years the pressure of the European society to improve the environmental performance of aviation has grown significantly. Different approaches have been made to address this problem in a proper manner and especially within the Clean Sky program different projects are planned, which yield in a significant reduction of fuel consumption and CO2 emissions.Up to now for aviation engines ",core,"Le texte porte « helicopter », « aviation », « flight » — objet développé apparemment aéronautique."
18,821233,RIB-AM,0.57,Research of Innovative and Breakthrough Additive Manufactured leading-edge concept,"RIB-AM project will contribute to the CleanSky 2 objectives with the development of novel manufacturing technologies applied large size components belonging to the primary structure of aircrafts. Within this set of manufacturing techniques stand out the Automatic Fibre Placement (AFP) using thermoplastic resins, the innovative additive manufacturing process with short-fibre reinforce thermoplastic",core,Le texte porte « aircraft » — objet développé apparemment aéronautique.
19,314061,STARGATE,5.00,Sensors Towards Advanced Monitoring and Control of Gas Turbine Engines,"The headline objective of this project is to develop a suite of advanced sensors, instrumentation and related systems in order to contribute to the development of the next generation of green and efficient gas turbine engines (AAT.2012.1.1-3&4).Sensors are a vital enabling technology for gas turbines and are critical to validation of design tools, new products, engine control, and health monitorin",core,Capteurs et instrumentation pour moteurs à turbine à gaz.
20,620120,AFOOT,0.30,Advanced FOrging of an Optimized Turbine casing,The objective of this project is to determine and validate a robust set of forging and heat treatment parameters leading to the forging of a fan case for a geared turbofan demonstrator as part of the Sustainable and Green Engine (SAGE) platform by making the microstructure of ATI 718Plus stable against overaging effects occurring during long-term exposure at 700°C.This project represents the colla,core,Le texte porte « turbofan » — objet développé apparemment aéronautique.
21,101255065,LEIA,35.00,Large scalE Integration demonstrator of hybrid electrical Architecture,"LEIA (Large scalE Integration demonstrator of hybrid electrical Architecture) is fundamental in the context of Clean Aviation's strategic goals to reduce greenhouse-gases emissions and advance green aviation technologies. This challenge is often associated with propulsion technologies or disruptive wing configurations, but it is not limited to that, and both pathways are enabled by novel system te",core,"Le texte porte « certification », « aviation », « aircraft » — objet développé apparemment aéronautique."
22,821079,E-BRAKE,1.07,"Design, Manufacturing and Qualification up to TRL5 of Innovative Electro-Mechanical BRAKE actuation System for SAT Application","The E-BRAKE project is aimed at developing, manufacturing, testing, and qualifying an Innovative Electro-Mechanical Braking actuation System for SAT Application, performing at the same time studies on electromechanical actuator, command logic including diagnostic and prognostic capabilities and system integration and validation of novel electro-mechanical brake actuation system into a relevant lan",core,"Le texte porte « airworthiness », « aircraft », « landing » — objet développé apparemment aéronautique."
23,101102020,AMBER,30.81,InnovAtive DeMonstrator for hyBrid-Electric Regional Application,"Climate change poses an unprecedented challenge on today’s society. Numerous studies highlight the urgent need to decarbonize global industry and to drastically reduce pollutant emissions across all sectors, including aviation. Although, the global environmental impact of aviation is mostly driven by small-medium range market aircraft due to the large volume of operations, the development of disru",core,"Le texte porte « aviation », « aircraft » — objet développé apparemment aéronautique."
24,307869,ELWIPS,0.89,Electro-thermal Laminar Wing Ice Protection System Demonstrator,"This proposal regards designing, building and testing a functional prototype of part of a laminar wing fitted with electro-thermal ice protection (ETIPS) for a business jet.  The aim is to show innovation in the use of composite materials for the fixed leading edge, (e.g. Fibre/Metal Laminates), which are thermally efficient, can be manufactured to tight laminar wing tolerances and comparable to a",core,Protection électro-thermique contre le givre d'une aile laminaire — prototype fonctionnel.
25,285050,WEZARD,0.50,Weather hazards for aeronautics,"On April 14th, 2010, the eruption of the Eyjafjallajökull volcano and the accompanying cloud of volcanic ash forced most countries in northern Europe to shut their airspace, grounding more than 100,000 flights, affected an estimated 10 million travellers and had a financial impact of 5 bn US$ over a seven day period.  This event revealed to what extent our society and economy rely on the availabil",core,"Le texte porte « air transport », « aeronautical », « aeronautic » — objet développé apparemment aéronautique."
26,278366,CASE,0.69,Fuel Control System Sensors and Effectors,"This abstract highlights the approach taken to meeting the technical requirements of the call, the partnership with two SMEs, the European dimension of the proposal, and the inclusion of universities and specialist sub-contractors.AEC has identified specific technologies (eddy current and ultrasonic acoustic sensors, and piezoelectric actuators) as having significant potential for new forms of imp",core,Capteurs et effecteurs d'un système de régulation carburant.
27,864726,TRAIL,5.20,"Design, manufacture and deliver a high performance, low cost, low weight Nacelle Structure for Next Generation Tilt-Rotor (NGCTR)","The aim of the Clean Sky 2 topic JTI-CS2-2018-CFP09-FRC-01-26 “Design, manufacture and deliver a high performance, low cost, low weight Nacelle Structure for Next Generation TiltRotor (NGCTR) - Technology Demonstrator (TD)” is to develop innovative: lightweight materials, architecture, technologies, fire resistant materials, control of structural borne vibration to be applied on the Nacelle of the",core,"Le texte porte « air transport », « helicopter », « tiltrotor » — objet développé apparemment aéronautique."
28,783178,DIGITS-AU,4.31,Demonstration of ATM Improvements Generated by Initial Trajectory Sharing - Airspace User Part,"*  DIGITS-AU is the essential Airspace User complement to the DIGITS project (Demonstration of ATM Improvements Generated by Initial Trajectory Sharing). DIGITS was granted under H2020-SESAR-2015-2, SESAR.ID-VLD.Wave1-27-2015, and its continuation is dependent on the participation of Airspace Users (AU).*  As required, DIGITS-AU brings together Airspace Users- who operate (even partially) in the a",core,"Le texte porte « air traffic », « airborne », « avionic » — objet développé apparemment aéronautique."
29,641553,HITECA,0.24,technology development and fabrication of HIgh TEmperature high frequency CApacitors for power switch integration,"Automotive, aerospace, and energy production industries can greatly benefit from the development of semiconductor based electronics operating at temperature higher than 150 °C.  Wide bandgap semiconductors like SiC and GaN are key enablers as these allow electronics to function at much higher temperatures than silicon. Consequently devices made from these materials can handle more current and thus",a_arbitrer,"Électronique haute température annoncée pour l'automobile, l'aérospatial ET l'énergie (I13 possible)."
30,101166886,DIALOG,1.97,"Deciphering Intents of Air traffic controllers,  workLOad assessment and Gaze analysis to enable their efficient and trustworthy collaboration with AI",The DIALOG project aims to improve collaboration between air traffic controllers (ATCOs) and artificial intelligence (AI) systems in air traffic management. It addresses a very ambitious goal of enabling AI members of human-AI teams to anticipate when and what kind of assistance their human teammates need and to respond on that. DIALOG will develop an AI-based digital assistant called Teamwork Ass,core,Le texte porte « air traffic » — objet développé apparemment aéronautique.
31,326000,CLEANLE2,0.47,Demonstration of  a Decontamination Device Protoype for buisness jets and  Experimental Validation,"This project is to validate a cleaning device capable of clearing out small debris from the leading edges of business jets or airliners, to keep the flow as laminar as possible on the leading edge of the wing. The cleaning concept will be compatible with the surface treatment of the leading edge of commercial aircrafts. Typically this concerns the contamination of leading edges by insect impact.  ",core,"Le texte porte « aircraft », « airline » — objet développé apparemment aéronautique."
32,807085,ENG GAM 2018,171.92,Engine ITD - GAM 2018,"Engines ITD will work towards radical engine architectures and new engine technologies to power the aircraft of the future. The objective is to increase fuel and energy efficiency of the engine and reduce environmental impact, regardless of whether the engine is powering a large airliner or just a small utility aircraft, meaning more thrust while burning less fuel and emitting less CO2, NOx and no",core,"Le texte porte « aircraft », « airline » — objet développé apparemment aéronautique."
33,717064,BRIDAS,0.35,Brillouin Distributed sensor for Aeronautical Structures,"The proposal is addressed to the development of a prototype for distributed strain measurements in optical fibers for industrial aeronautical contexts: composite manufacturing plants, structural test platforms and airborne conditions. The prototype will be based on stimulated Brillouin scattering (SBS), and will be aimed to the structural health monitoring of composite parts employed in the aerona",core,"Le texte porte « aeronautical », « aeronautic », « aircraft » — objet développé apparemment aéronautique."
34,999905,TE,14.74,JTI-Clean Sky 1-Technology Evaluator,"TE: Clean Sky was launched with the goal to bring technology to maturity that could, as a set of solutions, deliver a substantial majority of the ACARE targets for the Environment. These ACARE goals (based on the VISION 2020 paper issued in Year 2000), concern aircraft technologies which are assumed to be available by 2020 for absorption into future product developments. - CO2 emissions reduced by",core,"Le texte porte « air transport », « air vehicle », « rotorcraft » — objet développé apparemment aéronautique."
35,821300,HAIRMATE,0.86,Hybrid AIRcraft seating MAnufacturing & TEsting,"HAIRMATE project aims to design and manufacture moulds for manufacturing and testing the next generation aircraft seating obtained in the HAIRD project. Within the HAIRD project a new seating with reduction of Deep Vein Thrombosis (DVT) risk, multi-functionality and simple surfaces for composite manufacturing was designed. The moulds to manufacture the structural parts and the cushion will be manu",core,Le texte porte « aircraft » — objet développé apparemment aéronautique.
36,101102003,H2ELIOS,9.96,HydrogEn Lightweight & Innovative tank for zerO-emisSion aircraft,"To enable a technologically and economically feasible H2-powered aviation, new integral LH2 tank solutions are required that could serve as part of the airframe main structure and capable of withstanding its respective loads. The H2ELIOS project will develop an innovative and effective lightweight LH2 storage system for aircraft. It will be implemented as demonstrators in two fuselage-like cylinde",core,"Le texte porte « aviation », « aircraft », « fuselage » — objet développé apparemment aéronautique."
37,865118,GLIMPSE2050,0.19,Global Impact Assessment of Regulations and Policies for Sustainable Aviation by 2050,"Cross-positioned in Clean Sky 2 and part of Clean Sky 2 TE, GLIMPSE2050 quantifies the environmental impact at air transport system level up to 2050 of regulations and policies that are currently discussed and potentially introduced until 2040. This impact includes noise and emissions. From this quantification, GLIMPSE2050 provides recommendations to target stakeholders.Through its quantification,",core,"Le texte porte « air transport », « aviation », « flight » — objet développé apparemment aéronautique."
38,820997,ANACO,2.26,Advance Nacelle Aerodynamic Optimisation,"ANACO will facilitate the multi-objective optimisation of short and slim nacelle design for the next generation of ultra-high bypass ratio (UHBPR) aero engines. UHBPR engine architectures offer increased propulsive efficiency through operation at reduced specific thrust, enabled by increased engine diameter. This poses special challenges, both in terms of the aerodynamic drag of the isolated nacel",core,"Le texte porte « aircraft », « nacelle » — objet développé apparemment aéronautique."
39,101007712,H2Free,1.00,Investigation and modelling of Hydrogen effusion in electrochemically plated ultra-high-strength-steels used for landing gear structures,"One drawback associated to Ultra High Strength Steels (UHSS) coated components is the risk of hydrogen embrittlement (HE) and delayed hydrogen fracture of the part. This problem has been tackled by developing LHE (Low HE) processes and by applying a degassing stage. The standard degassing process is applied equally to the components regardless UHSS or coating composition/morphology. However, it is",core,"Le texte porte « certification », « landing » — objet développé apparemment aéronautique."
40,785539,CIDAR,2.01,Combustion species Imaging Diagnostics for Aero-engine Research,"The CIDAR project is the result of a Consortium formed by Academic Parties (Manchester, Strathclyde and Edinburgh Universities), a Research and Development Organization (INTA) and private companies (DAS and OptoSci). Therefore, CIDAR builds upon the expertise of the UK's and Spain’s world-leading groups in fibre-lasers, laser based gas and particulate detection, opto-electronics, and chemical spec",core,"Le texte porte « turbofan », « aviation » — objet développé apparemment aéronautique."
41,632456,WITTINESS,0.75,WindTunnel Tests on an Innovative regional A/C for Noise assessment,"WITTINESS adresses the acoustic measurement campaign of previously (in a different CfP) designed WT-model, equipped with engine-demonstrators. In order to tackle this project a consortium including a company experienced in design, structural mechanics and aerodynamics, a SME, a manufacturer and a university with a strong focus on acoustic measurements propose an approach to use the previously desi",core,Essais en soufflerie d'un avion régional pour l'évaluation acoustique.
42,785520,NATHENA,1.50,New Additive manufacTuring Heat ExchaNger for Aeronautic,"New Additive manufacTuring Heat ExchaNger for AeronauticToday’s technologies and processes dedicated to the exchangers manufacturing hamper progress on higher performances (mechanical assies of repetitive and regular unitary components like folded sheet metal and/or tubing mostly welded).Traditional manufacturing entails limit for the customization of the inner structure, which have a direct impac",core,Le texte porte « aeronautic » — objet développé apparemment aéronautique.
43,831815,ACCENTO,0.68,ACCENTO (Active Clearence Contol dEsigN and characTerizatiOn). Advanced investigations on different Low Pressure Turbine Active Clearance Control (LPTACC) system by means of CFD and experiments.,This proposal refers to the Clean Sky 2 topic JTI-CS2-2018-CfP08-ENG-01-36 “Optimizing impingement cooling”. The objective of ACCENTO (Active Clearence Contol dEsigN and characTerizatiOn) project is to carry out a series of advanced investigations on different Low Pressure Turbine Active Clearance Control (LPTACC) system pipes and target plates. The aim is to develop design/verification procedures,core,Contrôle actif des jeux et refroidissement par impact — organe de moteur.
44,278415,HELIDES,0.11,Helicopter Drag Prediction using Detached-Eddy Simulation,"Reduction of aerodynamic drag is central to the ACARE 2020 goal of reducing fuel consumption in air transportation. For rotorcraft, the majority of the drag occurs due to extensive flow separation around the fuselage and rotor hub. Such highly unsteady flows present significant challenges for computational fluid dynamics (CFD) techniques in terms of solution fidelity and computational expense.Howe",core,"Le texte porte « air transport », « helicopter », « rotorcraft » — objet développé apparemment aéronautique."
45,641592,HELI-COMFORT,0.72,Adaptable power density coating for energy efficient heating of cockpit and cabin,"The objective of HELI-COMFORT is to advance the technology readiness level of an innovative, purpose made, prototypic electrical heating system to a TRL 4 or higher level. After laboratory scale tests on smaller samples and an CFD based numerical simulation of such heating elements in a helicopter interior, this heating system will be integrated in an 1:1 helicopter mock-up and investigated under ",core,"Le texte porte « helicopter », « cockpit » — objet développé apparemment aéronautique."
46,699247,R-WAKE,1.00,Wake Vortex simulation and analysis to enhance en-route separation management in Europe,This project (R-Wake) aims at developing a simulation framework to assess the risk and hazards of potential wake vortex encounters for the en-route phase of flight.,core,Le texte porte « flight » — objet développé apparemment aéronautique.
47,783198,EMPHASIS,0.94,EMPowering Heterogeneous Aviation through cellular SIgnalS,"The key objective of the project EMPHASIS (EMPowering Heterogenuous Aviation through cellular SIgnalS) is to increase safety, reliability and interoperability of General Aviation/Rotorcrafts (GA/R) operations both with commercial aviation and with emerging drones operations. These aspects are foreseen as critical elements to secure and improve airspace access for GA/R users in future airspace envi",core,"Le texte porte « certification », « rotorcraft », « aviation » — objet développé apparemment aéronautique."
48,266073,ARISTOTEL,3.00,AIRCRAFT and ROTORCRAFT PILOT COUPLINGS – TOOLS AND TECHNIQUES FOR ALLEVIATION and DETECTION,"The ARISTOTEL project challenge is ensuring aircraft safety and aims to reduce the aircraft and rotorcraft accidents caused by a particularly unfavourable category of phenomena: aircraft-pilot-couplings and rotorcraft-pilot-couplings (A/RPCs). Generally, A/RPCs are defined as “inadvertent, sustained aircraft oscillations which are a consequence of an abnormal joint enterprise between the aircraft ",core,"Le texte porte « aeronautic », « rotorcraft », « aircraft » — objet développé apparemment aéronautique."
49,101256789,UNIFIED,64.12,Ultra Novel and Innovative Fully Integrated Engine Demonstrations,"The journey to climate-neutral aviation will require the power density of an ultra-efficient gas turbine combined with SAF, all highly integrated into an advanced aircraft platform for the SMR aircraft category. As the Clean Aviation SRIA states, this SMR aircraft category generates approx. 50% of the current share of air transport emissions, demonstrating the importance of the focus that is requi",core,"Le texte porte « air transport », « flight test », « turbofan » — objet développé apparemment aéronautique."
50,323047,CROP,0.60,Cycloidal Rotor Optimized for Propulsion,"The CROP project introduces an innovative propulsion system for aircrafts based on the cycloidal rotor concept, using an integrated approach that includes the electric drive train, airframe integration and an environmental friendly energy source.The CROP system is supported on a multiphysics approach:1. The high thrust is obtained by unsteady-based cycloidal rotor operation;2. The development of l",core,"Le texte porte « aircraft », « airframe », « landing » — objet développé apparemment aéronautique."
51,101286387,JARVIS-CONNECT,6.00,Just A Rather Very Intelligent and Connected System,"Aviation is entering an era of profound transformation, driven by the urgent need for safer, greener, and more efficient air traffic management (ATM). At the heart of Europe’s vision stands Trajectory Based Operations (TBO), a cornerstone of the European ATM Master Plan that will enable secured and timely exchange of aircraft trajectories among all actors, to support collaborative, data-driven dec",core,"Le texte porte « air traffic », « aviation », « aircraft » — objet développé apparemment aéronautique."
52,101114748,NETWORK TBO,5.63,Network Trajectory Based Operations,"The NETWORK Trajectory based operations (NETWORK TBO) project proposes to validate TBO SESAR Solutions covers all aspects of Trajectory management processes involving – but not limited to - Network actors. It covers both planning and execution phases. The proposed SESAR Solutions, with an indication of the Technology Readiness Levels (with the associated EOCVM level) at the end of the project, are",core,"Le texte porte « air navigation », « airborne », « icao » — objet développé apparemment aéronautique."
53,307612,BirdStrike,0.60,Investigation of Bird Strike criteria for Natural Laminar Flow wings,"The BirdStrike project aims to establish a validated bird strike analysis capability, which enables the SFWA partners to simulate bird impact on a CFRP leading edge for a NLF wing. This will be achieved by setting up a combined program of test and analysis to determine the extent of damage and criteria to be applied to analyses of leading edge panels for NLF wings.The main scientific and technical",core,Critères d'impact d'oiseau sur voilure à écoulement laminaire naturel.
54,632556,RIBES,0.22,Radial basis functions at fluid Interface Boundaries to Envelope flow results for advanced Structural analysis,"In the framework of Clean Sky2, Green Regional Aircraft - GRA - will deliver low-weight aircraft using smart structures. With the aim of mitigating environmental impact through a substantial reduction of pollutant emissions and fuel consumption, a reliable numerical methodology is required to accurately optimise the weight. The design process implies using of CFD and FEM structural models. Then th",core,"Le texte porte « aeronautic », « aircraft » — objet développé apparemment aéronautique."
55,999907,GRC,56.57,JTI-Clean Sky 1-Green Rotocraft -Integrated Technology Demonstrator,"GRC - Green Rotorcraft: The Green Rotorcraft ITD gathers and structures all activities concerning the integration of technologies and the demonstration on rotorcraft platforms, supported by activities performed within the Eco-Design ITD, the Sustainable and Green Engines ITD, the Systems for Green Operations ITD and the Technology Evaluator. It combines seven domains aiming at reducing the environ",core,"Le texte porte « helicopter », « rotorcraft », « airframe » — objet développé apparemment aéronautique."
56,738114,SMART-LAYUP,2.70,Development of innovative automated fibre placement machine for composite fuselage manufacturing with high performance hybrid materials,"SMART-LAYUP activities described in the present proposal will contribute to develop and validate an advanced process of hybrid materials automated lay-up for manufacturing of regional aircraft composite fuselage which allows a significant reduction of the overall production costs and manufacturing flow. After a developmental phase to be performed at MTORRES site, the innovative process and related",core,"Le texte porte « aircraft », « fuselage » — objet développé apparemment aéronautique."
57,807081,SYS GAM 2018,113.18,Systems ITD,"The Systems ITD will develop and build highly integrated, high TRL demonstrators in major areas such as power management, cockpit, wing, landing gear, to address the needs of future generation aircraft in terms of maturation, demonstration and Innovation.",core,"Le texte porte « aircraft », « landing », « cockpit » — objet développé apparemment aéronautique."
58,717186,OLTITA,0.35,O.M.P.M. LiferCraft Tail Innovative Tool Assembly,"The aim of this proposal is to develop, design, manufacture and deliver to the Core Partner of the Call For Core Partner AIR-02-02, the prototype assembly and transportation tooling for all components of the LifeRCraft Rotorless Tail that belong to the WP_B4.1 “Rotorless Tail for LifeRCraft” i.e.: Tail Boom, Horizontal Stabilizer, Vertical stabilizer, Control Surfaces, Upper Tail Boom Fairing. Com",core,"Le texte porte « flight test », « flight » — objet développé apparemment aéronautique."
59,270561,TEMPO,0.37,Thermal Exchange Modelling and Power Optimization,"In the frame of the proposed project, a comprehensive Modelica library for the modelling of aircraft air conditioning and thermal management will be developed, covering all relevant fluid domains as well as mechanical, electrical and control aspects. The developed library will cover:Vapour cycle system, including valves, heat exchangers (two phase – two phase, two phase – liquid, two phase – air),",core,Le texte porte « aircraft » — objet développé apparemment aéronautique.
60,252045,SMACMP,0.07,SMA Cytec Multilayer Prepreg,"The use of advanced composite materials brings to the aircraft design the benefits coming from a reduction in part counts and a simplification in the inspection and maintenance procedures. Hail, bird impacts and runway debris represents a big threat for aircraft structures and their effects shall be taken into account in the design phase leading to a redundant design and reducing the advantages co",core,"Le texte porte « maintenance », « aircraft », « fuselage » — objet développé apparemment aéronautique."
61,296543,ViMaQ,0.29,Hot sheet metal forming of aerospace materials - Virtual manufacturing and enhanced quality,"Hot stamping allows producing complex geometries from high performing materials. The use of this technique is increasing among automotive manufacturers because of the possibility to reduce weight without compromising with performance.The aim of this study is to tailor the press hardening technique to fit the materials and demands of the turbofan engine, hoping to reduce weight, waste, machining an",core,Le texte porte « turbofan » — objet développé apparemment aéronautique. Contexte multisectoriel mentionné (automotive) — vérifier I13.
62,717091,ASPIRE,0.82,Advanced Smart-grid Power dIstRibution systEm,"The ASPIRE Consortium will bring together their world-leading expertise in aircraft Electrical Power Systems (EPS) and Power Electronics (PE) in order to design, develop and manufacture an innovative DC/DC resonant cellular converter with automatic inversion functionality. This will be a key component in the creation and demonstration of an advanced Electrical Power Distribution System (EPDS) with",core,"Le texte porte « aviation », « aircraft » — objet développé apparemment aéronautique."
63,101251003,CRYOSTAR,5.06,Certification Roadmap to Yield an Optimal and Safety methodology of crashworthiness for an integrated cryogenic Tank for liquid hydrogen storAge on board of future aiRcraft,"Hydrogen is emerging as one of the most promising energy carriers for decarbonizing aviation, offering significant long-term potential for reducing greenhouse gas emissions. However, its implementation faces considerable technical and safety hurdles, particularly in relation to onboard storage and distribution. Hydrogen’s low volumetric energy density, even when stored as cryogenic liquid hydrogen",core,"Le texte porte « certification », « aviation », « aircraft » — objet développé apparemment aéronautique."
64,714249,ACTIonRCraft,0.80,Anti-Crash lightweight fuel bladder Tank Integrated on a new RotorCraft,"ACTIonRCraft will design, develop, manufacture, verify and validate [qualification tests (leakproofness, temperature, pressure, fluid susceptibility, mechanical and drop tests) up to flight tests] five qualified anti-crash lightweight fuel bladder tanks which will integrate for the very first time ZODIAC AEROSAFETY SYSTEMS (ASY) robust, light and ecofriendly technological breakthrough (functionali",core,"Le texte porte « maintenance », « flight test », « rotorcraft » — objet développé apparemment aéronautique."
65,101114733,DARWIN,3.46,Digital Assistants for Reducing Workload & Increasing collaboratioN,DARWIN ambition and vision is to develop technology enabling AI based level 4 automation for cockpit and flight operation as a key enabler for SPO (Single Pilot Operations) and demonstrate the same (or higher) level of safety with same (or lower) workload as operations with a full crew. It will bring solutions that will help the market maintain operational efficiency with increased complexity and ,core,"Le texte porte « aviation », « cockpit », « flight » — objet développé apparemment aéronautique."
