n,concept,source_id,acronym,appel,meur,titre,resume_court,label_propose,raison
11,aircraft,276943,SPRINT,FP7-PEOPLE-2010-RG,0.05,SPRiNT - Smart Panels for the Reduction of Noise Transmission,Significant components of the interior noise in high speed vehicles are caused by the Turbulent Boundary Layer (TBL) disturbances which are inherently random and broadband. In fact,borderline,Panneaux anti-bruit pour véhicules rapides — l'aéronef n'est pas nommé
12,aircraft,101053309,NABUCCO,ERC-2021-ADG,2.34,New Adaptive and BUCkling-driven COmposite aerospace structures,"The NABUCCO project aims to develop radically new concepts of adaptive and buckling-driven composite structures for next generation aircraft. In aeronautics, buckling is generally ",core,Structures composites adaptatives pour l'avion de prochaine génération
13,aircraft,101188572,ERA,HORIZON-EIC-2024-ACCELERATOR-02,2.50,ERA - Electric Regional Aircraft,"ERA is an hybrid electric aircraft, propelled by electric engines that are powered by the electricity supplied by batteries and/or the turbogenerators located at the aft of the air",core,Avion régional électrique
14,aircraft,101129952,BEALIVE,HORIZON-EIC-2023-PATHFINDEROPEN-01,2.50,Bioinspired Electroactive Aeronautical multiscale LIVE-skin,"Inspired from the highly efficient aerodynamics of birds, the versatility of the jelly-moon fringes, the manta ray and sharks, the multidisciplinary project BEALIVE introduces a ne",core,Peau aéronautique électroactive bio-inspirée pour aéronef
15,aircraft,673505,Aerowash II,H2020-SMEINST-1-2014,0.05,InnovAtive automatic battERy pOwered WASHing robot for the aviation industry – Aerowash II,"Nordic Ground Support Equipment AB (NGSE) plans to install 5 to 10 demonstration units of the world´s first fully automatic, battery powered aircraft washing robot, at 3 to 5 diffe",enabling,"Robot de lavage d'avions : équipement d'assistance au sol, l'aviation est le débouché"
16,aircraft,101018998,LOSFARE,H2020-MSCA-IF-2020,0.21,Law of the Sea and Hybrid Warfare,LOSFARE focuses on the practice of States in imposing navigational restrictions on foreign ships and aircraft in densely navigated maritime regions in the context of hybrid warfare,excluded,Droit de la mer et guerre hybride
17,aircraft,862308,ProExcer,ERC-2019-PoC,0.15,Projectile exciter for noiseless environment,"Noise is not just a nuisance; it affects our health. No accepted financial data exist for the treatment costs of noise-related health problems, but several studies prove its direct",excluded,Excitateur acoustique — nuisance sonore générale
18,aircraft,723515,INCEPTION,H2020-MG-2016-Two-Stages,2.39,Incremental Nonlinear flight Control supplemented with Envelope ProtecTION techniques,Recent developments in the areas of nonlinear control theory and sensor technology paved the way to the derivation of flight control laws that are significantly less dependent on n,core,Lois de commande de vol non linéaires et protection du domaine de vol
19,aircraft,101206621,RESET,HORIZON-MSCA-2024-PF-01,0.22,REthinking in-flight icing modelS validation through intEgrated uncerTainty analysis,"In-flight icing is a dangerous phenomenon that poses significant risks to aircraft safety, resulting from the accumulation of ice on surfaces due to supercooled water droplets. Thi",core,Givrage en vol : sécurité et navigabilité de l'aéronef
20,aircraft,769896,RUMBLE,H2020-MG-2017-SingleStage-INEA,5.04,RegUlation and norM for low sonic Boom LEvels,"Nearly 15 years after the last commercial supersonic flight, the quick evolution of technology combined with the emergence of ambitious industrial projects indicate that a second e",core,Bang supersonique : normes pour l'avion supersonique
21,aircraft,737135,NANOARCHITECTRONICS,H2020-FETOPEN-2-2016,0.67,NANOARCHITECTRONICS,This FET-open Coordination and Support Action is called “Nanoarchitectronics” (NTX) to denote a new interdisciplinary research area at the crossroad of Electromagnetics and Nanoele,excluded,Nanoarchitectronique — recherche fondamentale FET
22,aircraft,641627,CaBilAvi,H2020-Galileo-2014-1,1.86,"Capacity building for aviation stakeholders, inside and outside the EU","The CaBilAvi consortium proposes a team of complementary skills, mixing experienced staff (GNSS Center of Excellence, Pildo Labs, Aeroclub de Sabadell, Amezen, CATC) with rightly c",core,Renforcement des capacités des acteurs de l'AVIATION autour d'EGNSS
23,aircraft,673887,Airport IQ,H2020-SMEINST-2-2014,1.23,Situation-Aware Mobile Platform for Airport Collaborative Decision-Making,The economic costs of aircraft delays in Europe have been estimated at 1.25Bn Euros per year. Aircraft delays also result in environmental costs: aircraft holding or queuing with e,core,Décision collaborative aéroportuaire : opérations aériennes
24,aircraft,690808,SHEFAE 2,H2020-MG-2015_SingleStage-A,1.34,Surface Heat Exchangers For Aero Engines 2,The Project aim is to develop and demonstrate lighter integrated heat exchanger systems for the turbofan engine. Currently in turbofan engines heat exchangers are used to cool the ,core,Échangeurs de chaleur surfaciques pour moteurs d'avion
25,aircraft,101106842,ADeHEx,HORIZON-MSCA-2022-PF-01,0.23,Advanced Design of Heat Exchangers using multiscale models and machine learning,"Heat exchangers (HXs) are at the heart of many energy systems, one example being engine cooling in the aviation industry. Advanced design of HXs is urgent since aircraft systems ar",excluded,Conception d'échangeurs en général ; l'aviation n'est qu'un exemple cité
26,aircraft,633436,ULTIMATE,H2020-MG-2014_TwoStages,3.14,Ultra Low emission Technology Innovations for Mid-century Aircraft Turbine Engines,With the ULTIMATE project five experienced research groups and four major European engine manufacturers will develop innovative propulsion systems to fulfill the SRIA 2050 key chal,core,Systèmes propulsifs ultra-bas carbone avec quatre motoristes européens
27,aircraft,945583,GAM-2020-LPA,H2020-IBA-CS2-GAMS-2019,173.87,Large Passenger Aircraft Innovative Aircraft Demonstrator Platform,"Main objective for the Clean Sky 2 Large Passenger Aircraft Programme (LPA) is to further mature and validate key technologiessuch as advanced wings and empennages design, making u",core,Clean Sky 2 — plateforme démonstrateur Large Passenger Aircraft (appel GAM non capté)
28,aircraft,868144,EMphiTech,H2020-SMEInst-2018-2020-1,0.05,A new generation of electric motors that provides higher power density and safety features by a novel winding architecture,The interest in electric vehicles and eMobility has seen a sharp increase as governments around the world move to ban petrol and diesel vehicles. The global eMobility market is exp,excluded,Moteurs électriques pour l'eMobilité automobile
29,aircraft,782743,3DTRAY,H2020-SMEINST-1-2016-2017,0.05,Innovative lightweight sustainable solutions for additively manufactured aircraft interior parts,"As resource efficiency becomes an increasingly important factor in the aviation industry, there is an ongoing search in Europe for more innovative solutions to reduce fuel consumpt",core,Pièces de cabine allégées pour l'industrie aéronautique
30,aircraft,286079,AIRFORS,FP7-PEOPLE-2011-IAPP,1.01,Aircraft for Environmental and Forest Science,Up-to-date environmental science builds upon of highly standardised monitoring networks and global scale earth observations. But a missing scale in ecosystem monitoring still exist,excluded,L'avion est l'INSTRUMENT d'une science environnementale (I5)
31,aircraft,665238,CompInnova,H2020-FETOPEN-2014-2015-RIA,2.50,An Advanced Methodology for the Inspection and Quantification of Damage on Aerospace Composites and Metals using an Innovative Approach,"There is an innovative need for more efficient and reliable damage inspection, reducing time and cost of aircraft infrastructures, as well as maintenance-especially C and D Checks-",core,Inspection et quantification des dommages sur structures d'aéronefs
32,aircraft,101091800,MASTERLY,HORIZON-CL4-2022-TWIN-TRANSITION-01,5.68,Nimble Artificial Intelligence driven robotic solutions for efficient and self-determined handling and assembly operations,"Over the last years, production has been shifted from mass production to customization. The conventional production lines, traditionally focused on one product variant or one famil",excluded,Robotique de production reconfigurable — manufacturing générique
33,aircraft,674045,AEROGLASS,H2020-SMEINST-2-2014,1.10,Augmented reality aerial navigation for a safer and more effective aviation,"Pilot error is the cause of 60-70% of aviation accidents. Current technologies require that pilots mentally convert complex instrument readings and 2D flat panel displays into 3D, ",core,Navigation aérienne en réalité augmentée pour pilotes
34,aircraft,262147,ICARE-2010,FP7-INFRASTRUCTURES-2010-1,0.08,International Conference on Airborne Research for the Environment,"For the 10th anniversary of the European network of instrumented aircraft for research in environmental and geo-science, an international conference will be organized in Toulouse a",excluded,Conférence sur la recherche aéroportée en environnement — l'avion est le porteur
35,aircraft,853096,ThermoTON,ERC-2019-STG,1.99,Thermophone - a novel heat transfer based approach to global TOnal Noise cancellation in aviation,"Limiting the number of people affected by significant aircraft noise is one of the most important tasks of modern civil aviation. Among different contributors, tonal noise is the m",enabling,Thermophone : technologie acoustique dont le bruit d'avion est le débouché déclaré
36,aircraft,945521,GAM-2020-AIR,H2020-IBA-CS2-GAMS-2019,79.63,AIRFRAME ITD,The Airframe ITD aims at re-thinking and developing the technologies as building blocks and the “solution space” on the level of the entire or holistic aircraft: pushing aerodynami,core,Clean Sky 2 — AIRFRAME ITD (appel GAM non capté)
37,aircraft,816071,OneSkyConnect,H2020-SMEInst-2018-2020-1,0.05,Providing air traffic data for the drone revolution,"Despite the huge potential of drones to disrupt the global economic, civil and social landscape due to their better endurance, range, safety and cost efficiency over manned aircraf",core,Données de trafic aérien pour l'intégration des drones (U-space)
38,aircraft,101180121,VITOLMINS,HORIZON-EUSPA-2023-SPACE,2.20,'Visual and Instrument Take-Off and Landing Maneuvers with EGNSS and Copernicus',"'Visual and Instrument Take-Off and Landing Maneuvers with EGNSS and Copernicus'Vertiport accessibility in all weather conditions, and the integration of VCA operations at airports",core,Décollage/atterrissage sur vertiport : opérations AAM
39,aircraft,101097433,HAPI,ERC-2022-ADG,2.50,Ultimate fracture toughness through thickness engineering,"The design of critical structural metallic components in the aeronautic, biomedical, nuclear or pipeline fields is often dictated by a fail-safe criterion established in the contex",borderline,"Ténacité des métaux pour aéronautique, biomédical, nucléaire — multi-domaines"
40,aircraft,867709,TailWind,H2020-SMEInst-2018-2020-1,0.05,Revolutionary electric plane technology that can be used for new build aircraft as well as to convert existing non-electric turboprops into fully electric aircraft.,"Aviation traffic in Europe is projected to reach 14.4M flights in 2035 a 50% increase than in 2012. However, this has causeda severe increase in aviation pollution creating a need ",core,Avion électrique
41,aircraft,101275686,HiBONTE,HORIZON-MSCA-2025-PF,0.19,Hybrid Innovative Boundary Operators for Noise Treatment Evolution: application to duct acoustics,"Aircraft noise has huge health and economic impacts, and the EU targets 65% of noise reduction by 2050. Meanwhile, restrictions in fuel consumption led to the Ultra-High-Bypass-Rat",enabling,Opérateurs numériques pour le traitement du bruit d'avion
42,aircraft,101202433,RESiLiTE,HORIZON-CL5-2024-D2-02,6.18,"Robust, Economical, Silicon-rich, Lightweight and Thermally Efficient battery packs","The RESiLiTE project (Robust, Economical, Silicon-rich, Lightweight, and Thermally Efficient battery packs) aims at increasing the energy density, energy efficiency, operative temp",excluded,Packs de batteries légers — sans intégration avion déclarée
43,aircraft,674539,HardALU,H2020-SMEINST-2-2014,0.64,"Fluidised Bed Heat Treatment Furnace for HPDC engine blocks and other transport components offering new opportunities for lightweight, cost competitiveness and energy saving",Advanced manufacturing technologies are needed in order to facilitate the production of high performance light weight aluminium components. HPDC is highly productive process but th,excluded,Four de traitement thermique pour pièces moulées haute pression (automobile)
44,aircraft,101205669,COMPOSE,HORIZON-MSCA-2024-PF-01,0.19,COMPACT REPRESENTATION OF MULTI-MODAL TRANSITION FROM HIGH-FIDELITY DATASETS OF UNSTEADY FLOWS,"Laminar-to-turbulent transition, which critically affects efficiency-focused applications such as wind turbine blades and aircraft wings, remains poorly understood. These flows inv",excluded,"Transition laminaire-turbulent, application citée : pales d'éoliennes"
45,aircraft,101072551,TRACES,HORIZON-MSCA-2021-DN-01,3.99,TRAining the next generation of iCE researcherS,"In 2019, the European Aviation Safety Agency (EASA) identified in-flight icing as a priority 1 issue for large aeroplanes with the aggregated European Risk Classification Scheme sc",core,Givrage en vol : priorité de sécurité identifiée par l'AESA
46,aircraft,101096275,HOPE,HORIZON-CL5-2022-D5-01,3.39,Hydrogen Optimized multi-fuel Propulsion system for clean and silEnt aircraft,The ICAO Post-COVID forecasts estimate a 2.4%-4.1% increase for a low to high revenue passenger-kilometres growth rate. Air traffic growth inevitably increases aviation's combustio,core,Propulsion multi-carburant/hydrogène pour l'aviation (F3 : intégration avion)
47,aircraft,756435,Runway-Star,H2020-SMEINST-2-2016-2017,2.49,A Novel Solution for Aircraft Washing and De-Icing,"Runway Star RS-500 is a fully automated dual-use aircraft de-icing and washing facility designed to address two significant industry problems. First, de-icing of aircraft is a safe",enabling,Installation de dégivrage et lavage d'avions : opérations au sol
48,aircraft,945541,GAM-2020-ENG,H2020-IBA-CS2-GAMS-2019,75.33,H2020-IBA-CS2-GAMS-2020-2021,The Engines ITD will work towards radical engine architectures and new engine technologies to power the aircraft of the future. The objective is to increase fuel and energy efficie,core,Clean Sky 2 — ENGINES ITD (appel GAM non capté)
49,aircraft,673763,PolyHalter,H2020-SMEINST-2-2014,0.51,Development of Polymer Halter for Oil Filters,"PolyHalter project is a direct response to demands for innovative, cost-effective solution which would allow car manufacturers to install lighter, more efficient and lower-priced e",excluded,Support polymère de filtre à huile pour constructeurs automobiles
50,aircraft,101079091,BAANG,HORIZON-WIDERA-2021-ACCESS-03,1.28,Building twinning Actions in smart Aviation with eNvironmental Gains,The main objective of BAANG is to stimulate the scientific excellence and innovation capacity of the involved partners in the field of smart aviation with a positive impact on the ,core,Action de jumelage dédiée à la recherche aéronautique
51,aircraft,101095754,NEEDED,HORIZON-CL5-2022-D5-01,3.94,Next generation data-driven reference European models and methods towards silent and green aircraft operations around airports,"NEEDED responds to the second and third bullets of the “expected outcome” of the HORIZON-CL5-2022-D5-01-12 topic, delivering the next generation data-driven reference European mode",borderline,Modèle européen de référence CL5-D5 — le périmètre exact n'est pas lisible
52,aircraft,690811,VISION,H2020-MG-2015_SingleStage-A,1.80,Validation of Integrated Safety-enhanced Intelligent flight cONtrol,"To enhance air transport safety, the main objective of VISION is to validate smarter technologies for aircraft Guidance, Navigation and Control (GN&C) by including 1/ vision-based ",core,Guidage et commande de vol pour la sécurité du transport aérien
53,aircraft,101066571,SolvEMCA2,HORIZON-MSCA-2021-PF-01,0.17,A Fast Numerical Solver for Electromagnetic Compatibility Assessment of Aircrafts Made Using Nano- and Micro- Engineered Materials,The electromagnetic compatibility (EMC) certification methods of aircrafts are predominantly based on experimental testing to fulfill some standard (e.g. DO-160). This phase involv,core,Certification CEM des aéronefs : navigabilité
54,aircraft,101192721,PLEIADES,HORIZON-CL5-2024-D5-01,4.73,"ADVANCING AEROSPACE COMPOSITES THROUGH INDUCTION WELDING AND NEW VITRIMERIC FORMULATIONS ENHANCED BY INTEGRATED PHOTONIC SENSORS, PROVIDING DATA TO DIGITAL SUPPLY CHAIN, SHM, MAINTENANCE","The composites aerostructures market is projected to grow to 116 billion by 2030, attributed to the increasing demand for advanced materials in aircraft manufacturing, which exhibi",core,Soudage par induction d'aérostructures composites
55,aircraft,101147799,UPBEAT,HORIZON-CL5-2023-D6-01,4.00,Uncertainty Prediction & Bias Elimination in Aviation Technology for Safety,Understanding and quantifying uncertainties (UQ) in aviation structures is vital to assessing risk and safety. UPBEAT will create novel UQ methods and tools to support the producti,core,Quantification d'incertitude sur les structures d'aviation
56,aircraft,727477,CL-Windcon,H2020-LCE-2016-RES-CCS-RIA,4.93,Closed Loop Wind Farm Control,Current practice in wind turbines operation is that every turbine has its own controller that optimizes its own performance in terms of energy capture and loading. This way of oper,excluded,Commande de fermes éoliennes
57,aircraft,858389,SPE,H2020-SMEInst-2018-2020-2,2.50,Silicon-Carbide-Fiber Pilot-production in Europe,"BJS Ceramics GmbH (BJS), Gersthofen, Germany, is Europe’s only Silicon Carbide (SiC) Fiber developer and producer inspe. SiC fibers are the key raw material for SiC Fiber reinforce",borderline,"Fibre de carbure de silicium — producteur d'origine aéronautique, débouché non explicité"
58,aircraft,101192936,CompSTLar,HORIZON-CL5-2024-D5-01,4.93,Boosting the digital transformation of aviation supply chains for advanced composite aerostructures,"CompSTLar proposes a novel, holistic integrated-and-interoperable physical and digital-driven research ecosystem encompassing automated and scalable composite technologies, multiph",enabling,Transformation numérique de la chaîne d'approvisionnement aéronautique
59,aircraft,227816,ESWIRP,FP7-INFRASTRUCTURES-2008-1,7.29,European Strategic Wind Tunnels Improved Research Potential,The proposed project ESWIRP aims at enhancing the complementary research potential and service capabilities of three strategic wind tunnels in Europe both in terms of productivity ,core,Souffleries européennes : moyens d'essais aéronautiques
60,aircraft,672001,ACES,H2020-SMEINST-2-2014,0.86,ACES: Air Cargo Explosive Screener,"The ACES (Air Cargo Explosive Screener) program will be devoted to the certification of a new generation of explosive screeners based on vapor detection, targeting the airport secu",enabling,Détection d'explosifs pour le fret aérien : sûreté aéroportuaire
61,aircraft,101091826,MIMOSA,HORIZON-CL4-2022-RESILIENCE-01,5.48,Multimaterial airframes based on 3D joints between AM metals and carbon-fiber composites,The aim of MIMOSA Project is the development of joined multi-material structures with new concepts able to exploit the digital and hybrid processes in order to achieve higher techn,core,Aérostructures multimatériaux et joints 3D
62,aircraft,780792,ICARUS,H2020-ICT-2017-1,3.00,Aviation-driven Data Value Chain for Diversified Global and Local Operations,The European aviation industry needs to leverage the surge of multi-source and multi-lingual data streams to gain augmented intelligence on its status quo and open up a wide spectr,enabling,Chaîne de valeur des données de l'aviation
63,aircraft,101056682,DIDEAROT,HORIZON-CL5-2021-D5-01,4.70,Digital Design strategies to certify and mAnufacture Robust cOmposite sTructures,New certified designs for structures are critical for the new upcoming changes in conception of aircraft architectures. A variety of breakthrough designs and new strategies for a b,core,Conception certifiée pour les architectures d'aéronefs
64,aircraft,331734,BBOT,FP7-PEOPLE-2012-IIF,0.18,Characterizing the Phase Transitions of Single Organic Aerosols in an Optical Trap,"Organic aerosols play a major role in the chemistry and physics of the atmosphere, serving as cloud condensation or ice nuclei, sites of interfacial chemistry, and scatters and abs",excluded,Aérosols organiques et physique de l'atmosphère
65,aircraft,694768,EUREC4A,ERC-2015-AdG,3.01,Elucidating the Role of Clouds-Circulation Coupling in Climate,This proposal focuses on two of climate science’s most fundamental questions: How sensitive is Earth's surface temperature to radiative forcing? and What governs the organization o,excluded,Couplage nuages-circulation : science du climat
66,aircraft,812904,AIRSCAN,ERC-2018-PoC,0.15,"A customised low-cost ultralight aircraft for survey, filming and animal tracking in wild environments.","This proposal draws on the extensive technical developments of Ad-G 323041 LOCATE to commercialise the know-how to build a low-cost aircraft with integrated aerial survey, filming ",borderline,"Construit un ULM, mais pour lever des données géophysiques — l'objet est le levé"
67,aircraft,842319,Print2fly,H2020-MSCA-IF-2018,0.19,Can we print an aircraft at room temperature?,"Within the field of aircraft manufacturing and aerospace sector, there is an increasing emphasis on thermoplastic composites and Additive Manufacturing (AM). However, current therm",core,Fabrication d'aéronef par impression de composites thermoplastiques
68,aircraft,765579,ConFlex,H2020-MSCA-ITN-2017,3.93,Control of flexible structures and fluid-structure interactions,We propose to develop systems and control theory needed to understand and control large flexible structures and fluid structure interactions. The beneficiaries are a group of 15 ac,borderline,Théorie du contrôle de structures flexibles — aéronef non nommé
69,aircraft,642861,BioSmartTrainee,H2020-MSCA-ITN-2014,2.82,Training in Bio-Inspired Design of Smart Adhesive Materials,"The last half century has seen a tremendous advancement in adhesives technology and has led to widespread replacement of mechanical fasteners with adhesive bonds (e.g. aircraft, au",excluded,Adhésifs bio-inspirés — chimie des matériaux
70,aircraft,957506,DYANS,ERC-2020-PoC,0.15,Dynamically augmented navigation system,The need to know the precise location of individuals has become ubiquitous. Systems currently used for tracking humans and animals depend on global navigation satellite systems (GN,excluded,Navigation pour le suivi de personnes
71,aircraft,854609,NeuralShape,H2020-SMEInst-2018-2020-1,0.05,NeuralShape: the first deep-learning based software to improve the engineer ‘work.,"With the new technologies’ development and the large-scale adoption of autonomous and electric cars, drones, as well as humanity´s quest for green energy, new designs become much m",excluded,"Logiciel d'apprentissage profond (voitures autonomes, drones cités en vrac)"
72,aircraft,652101,Aeropaft,H2020-SMEINST-1-2014,0.05,Delay of flow separation and stall on Aerofoils using a Passive Flow control Technology which will improve aerodynamic performance and stability of wind turbines increasing their range of operation,"Flow separation and dynamic stalling in aerofoils result in increased drag, reduced lift and increased dynamic loads on aerodynamic devices/vehicles. This culminates in reduced aer",enabling,Contrôle du décrochage sur profils : aérodynamique dont l'aviation est le débouché
73,aircraft,867809,THEIAUAS,H2020-SMEInst-2018-2020-1,0.05,Threod THEIA Vertical Take-Off and Landing UAS: Solving unmanned aircraft challenges at sea and elsewhere,Unmanned Aerial Systems can bring minimal risk and cost advantages to many civil and military applications when compared to manned vehicles. In most applications the aircraft has t,core,Système aérien sans pilote à décollage vertical (F2)
74,aircraft,735639,Wearable4Work,H2020-SMEINST-1-2016-2017,0.05,Wearables for Workplace Productivity Safety,"Within industrial processes, maintenance (including inspection and incident management) is considered to be the cause of more than 1/3rd of the cases that involve aircraft equipmen",excluded,Wearables pour la productivité en atelier
75,aircraft,731330,VERSATILE,H2020-ICT-2016-1,3.48,Innovative robotic applications for highly reconfigurable production lines - VERSATILE,"The recent trends of mass customization of products and lean approaches impacts production by a drastic reduction ofproduction lot sizes. However, traditional automation and roboti",excluded,Robotique de production reconfigurable
76,aircraft,649087,ASICA,ERC-2014-CoG,2.27,New constraints on the Amazonian carbon balance from airborne observations of the stable isotopes of CO2,"Severe droughts in Amazonia in 2005 and 2010 caused widespread loss of carbon from the terrestrial biosphere. This loss, almost twice the annual fossil fuel CO2 emissions in the EU",excluded,Bilan carbone amazonien
77,aircraft,101125132,MetaWing,ERC-2023-COG,2.37,Metamaterials for Laminar Flow Control on a Wing,"Achieving extensive laminar flow can reduce aircraft drag by up to 15%, offering breakthrough potential for curbing polluting emissions in aviation and other energy-intensive secto",core,Métamatériaux pour le contrôle de l'écoulement laminaire sur une AILE
78,aircraft,101192711,HyperMorpH,HORIZON-CL5-2024-D5-01,5.00,Synergistic Integration of Hyperconducting Electric Propulsion and Composite Structures with Intelligent Morphing for Hydrogen-Powered Aviation,"HyperMorpH focuses on hybrid-electric hydrogen-powered aircraft architectures. It suggests that as liquid hydrogen (LH2) becomes available for zero-emissions aircraft, cryogenicall",core,Architecture d'avion hybride-électrique à hydrogène (F3)
79,aircraft,816435,FODBASA,H2020-SMEInst-2018-2020-1,0.05,Advanced System for Foreign Object Debris and Bird-Aircraft Strike Avoidance,"Aeronautic sector is increasingly facing various safety threats to passengers, crews and aircraft caused by foreign object debris (FOD) as well as birds and the growing number of d",core,Détection de débris et alerte oiseaux : sécurité des opérations aériennes
80,aircraft,277143,ORGGROWTH,FP7-PEOPLE-2010-RG,0.10,The Growth of New Entrepreneurial Ventures and the Internal Dynamics of Resources,How can newly established organizations grow successfully? This question has captivated researchers in entrepreneurship and organization theory for decades. This literature has doc,excluded,Croissance des jeunes entreprises — sciences de gestion
81,aircraft,101006854,MORPHO,H2020-MG-2020-SingleStage-INEA,5.00,Embedded Life-Cycle Management for Smart Multimaterials Structures: Application to Engine Components,"In the framework of the transition to an industry 4.0, connected objects deployment is reinventing manufacturing and maintenance processes enabling tighter integration of the value",enabling,"Gestion du cycle de vie de pièces multimatériaux, débouché aéronautique"
82,aircraft,101056866,EFACA,HORIZON-CL5-2021-D5-01,3.80,Environmentally Friendly Aviation for all Classes of Aircraft,The EFACA project consists of 6 main objectives at 3 levels. Level 1 consists of three TRL3 demonstrations of technologies relevant to the greening of aviation: (WP1) bench testing,core,Aviation respectueuse de l'environnement pour toutes les classes d'aéronefs
83,aircraft,725627,WakeOpColl,ERC-2016-COG,2.00,Learning and collective intelligence for optimized operations in wake flows,"Physics dictate that a flow device has to leave a wake or the signature of it producing sustentation forces, extracting energy, or simply moving through the medium; these flow stru",borderline,Intelligence collective et sillages — l'application aéronautique n'est pas explicite
84,aircraft,685952,NANOTUN3D,H2020-NMP-PILOTS-2015,2.94,Development of the complete workflow for producing and using a novel nanomodified Ti-based alloy for additive manufacturing in special applications.,NANONTUN3D will take advantage of the possibilities of Additive Manufacturing (AM) together with the development of a specially tailored Ti- based nano-aditived material to achieve,excluded,Chaîne de fabrication additive — procédé générique
85,aircraft,293978,NUMERICS4NLP,FP7-PEOPLE-2011-CIG,0.10,Numerical Methods for Nonlocal Problems,We propose to develop scalable solvers for integral equation based nonlocal (NL) problems such as peridynamics (PD). Heterogeneity will also be studied due to utmost importance of ,excluded,Méthodes numériques pour problèmes non locaux
86,aircraft,687641,DigiTech,H2020-SMEINST-1-2015,0.05,Development of a novel generic digital controller for hydraulic load profiling control systems to significantly reduce costs and time in aircraft test rig development and commissioning,Aircraft Testing is a highly technological field within the aerospace industry requiring faster testing times and strict adherence to regulatory requirements set by the European Av,core,Contrôleur numérique pour les essais d'aéronefs : moyens d'essais
87,aircraft,101124038,MORASINA,ERC-2023-COG,1.99,MOdeling and Reduction of Aeroacoustics Sources of Interaction Noise in Aviation,"The target of climate-neutral aviation has led to a strong increase in the size of new propulsion systems, resulting in their lowered distance to the airframe components. This caus",core,Aéroacoustique des systèmes propulsifs installés pour l'aviation neutre en carbone
