rang,entite,pays,consolide,n_entites,montant_meur,n_projets,projets_determinants,coherence_sectorielle,drapeau
30,NATS (EN ROUTE) PUBLIC LIMITED COMPANY,GB,non,1,27.20,66,PJ37-W3 ITARO (2.2 M€); PJ01 EAD (1.9 M€); PJ10 PROSA (1.7 M€),cohérente,
31,DFS DEUTSCHE FLUGSICHERUNG GMBH,DE,non,1,26.76,54,NATICA (3.5 M€); PJ10-W2 PROSA (2.3 M€); PJ10 PROSA (1.6 M€),cohérente,
32,Direction des Services de la Navigation Aérienne,FR,non,1,25.80,70,PJ13 - W2 ERICA (1.3 M€); HAVEN (1.2 M€); PJ09-W2 DNMS (1.2 M€),cohérente,
33,AERNNOVA AEROSPACE SA,ES,non,1,25.59,9,GAM-2020-LPA (9.2 M€); LPA GAM 2018 (8.9 M€); GAM-2020-AIR (3.1 M€),cohérente,
34,ENAV SPA,IT,non,1,23.57,64,PJ10 PROSA (1.6 M€); PJ05-W2 DTT (1.1 M€); PJ02 EARTH (1.0 M€),cohérente,
35,CRANFIELD UNIVERSITY,GB,non,1,21.77,66,EXAELIA (1.2 M€); ENABLEH2 (1.2 M€); FUTPRINT50 (1.0 M€),cohérente,
36,ISRAEL AEROSPACE INDUSTRIES LTD.,IL,non,1,20.25,28,ED (7.8 M€); GAM AIR 2018 (3.1 M€); GAM-2020-AIR (3.1 M€),cohérente,
37,DEEP BLUE SRL,IT,non,1,20.06,71,Engage 2 (2.1 M€); ACROSS (1.5 M€); SAFEMODE (1.1 M€),cohérente,"classification — 5,68 % de son total vient de SAFEMODE, relabellisé enabling ; son rang glisserait de 37 à ~39"
38,Siemens Aktiengesellschaft,DE,oui,9,19.92,34,GRC (4.1 M€); HYPSTAIR (1.7 M€); NEWBORN (1.6 M€),cohérente,
39,STIFTELSEN SINTEF,NO,oui,3,19.78,51,PARADISE (1.7 M€); TULIPS (1.1 M€); UPBEAT (1.0 M€),cohérente,
40,HONEYWELL AEROSPACE INC.,US,oui,3,18.82,31,PJ31 DIGITS (2.1 M€); PJ14 EECNS (1.8 M€); PJ14-W2 I-CNSS (1.8 M€),cohérente,consolidation — doublon de groupe avec Honeywell International (rang 17)
41,AIRCRAFT RESEARCH ASSOCIATION LIMITED,GB,non,1,18.53,23,SUBLIME (2.6 M€); POLITE (2.4 M€); ODIN (1.9 M€),cohérente,
42,VON KARMAN INSTITUTE FOR FLUID DYNAMICS,BE,non,1,18.46,49,SPLEEN (2.0 M€); LEMCOTEC (1.4 M€); ASTORIA (1.1 M€),cohérente,
43,CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE CNRS,FR,non,1,17.69,59,HAIC (2.2 M€); COMANOID (1.2 M€); AIRCRAFTFIRE (0.9 M€),cohérente,
44,TECHNISCHE UNIVERSITAET BRAUNSCHWEIG,DE,non,1,17.63,45,FAME (2.0 M€); DISPROP (1.0 M€); CA3ViAR (0.9 M€),cohérente,
45,FUNDACION TECNALIA RESEARCH & INNOVATION,ES,non,1,17.44,49,Bionic Aircraft (1.1 M€); LOCOMACHS (0.9 M€); ESPOSA (0.8 M€),cohérente,
46,RATIER FIGEAC,FR,non,1,16.70,6,PHARES (9.5 M€); HE-ART (4.5 M€); DEMETRA (2.0 M€),cohérente,
47,POLITECNICO DI MILANO,IT,non,1,16.28,44,AMATHO (1.2 M€); NITROS (1.0 M€); RoCS (1.0 M€),cohérente,
48,LUFTFARTSVERKET,SE,non,1,16.09,61,PJ05 Remote Tower (2.0 M€); PJ02 EARTH (1.8 M€); PJ01 EAD (1.0 M€),cohérente,
49,GKN FOKKER AEROSPACE BV,NL,non,1,15.20,15,GAM-2020-LPA (3.6 M€); GAM-2020-AIR (2.9 M€); GAM AIR 2018 (1.8 M€),cohérente,consolidation — même ensemble que GKN Aerospace Sweden (rang 16)
50,ROMAERO SA,RO,non,1,14.86,5,SFWA (9.9 M€); FRC GAM 2018 (2.8 M€); GAM-2020-FRC (1.8 M€),cohérente,
