review_id,source_id,acronym,titre,resume_complet,mon_label,note
11,101140567,HERFUSE,Hybrid-Electric Regional FUSelage & Empennages,"The aim of HERFUSE proposal is to design innovative fuselage and empennages suitable for the future Hybrid-Electric Regional aircraft (HER) that will contribute to the overall target to reduce Green House Gases (GHG) emissions. HERFUSE will study the challenges on fuselage and empennages layout, material, components, manufacturing and assembly derived by integration of the relevant fuselage systems for HER as defined in the SRIA for a Hybrid-Electric Regional Aircraft and in HER-01 topic. HERFUSE integrates features and components necessary to regional hybrid-electric propulsion and complementary systems as well as improves weight, durability, aerodynamic efficiency and operational issues. The technologies and solutions matured in this project shall be aligned and feed with models, analyses and actual test data HERA project on regional aircraft (HORIZON-JU-CLEAN-AVIATION-2022-01-TRA-01). HERFUSE technologies, manufacturing and assembly of critical components will make feasible achieving the targeted performance gains of HER enablers such as low GHG energy sources (batteries and fuel cells), their storage (probable liquid in hydrogen case), their distribution and management, operational and safety features, thermal management provisions, electrical and thermal insulation. Technical solutions set by the HERFUSE will contribute then to the overall target and studies performed at aircraft level in HERA to reduce emissions. Namely, HERFUSE integration requirements will be concurrent and complementary to the aircraft-level ones set into HERA.",core,
12,233682,ALICIA,All Condition Operations and Innovative Cockpit Infrastructure,"ALICIA addresses the ACARE objective of increasing time efficiency within the future air transport system. The aim will be to develop a new and scalable cockpit application which can extend operations of aircraft in degraded conditions – “All Conditions Operations”. A key objective will be to deliver an extensible application that can be applied to many aircraft types.  This will necessarily entail a new cockpit infrastructure capable of delivering enhanced situation awareness to the crew whilst simultaneously reducing crew workload and improving overall aircraft safety.   All Conditions Operations, other challenging applications and the desire for reduced crew will mean that the crew station interface will be challenged beyond the reach of the current state-of-the-art. Accordingly, a radical rethink is required to manage the escalating complexity whilst simultaneously enhancing safety and controlling through life cost.  Thus, the next significant step in cockpit design will require a holistic integration of technologies allowing the crew to process and act on information concurrently and intuitively, using an optimum combination of their visual, tactile and audio senses.  In the concept envisaged, use will be made of precision navigation, synthetic vision, high integrity data bases, sensor and sensor data and image fusion, obstacle warning systems, taxi autopilots, touch screens, large area displays, voice/audio and multimodal input/output devices to deliver an All Conditions Operations application integrated within an enhanced crew interface. A major objective will be to deliver a common, and open standard interface which can manage existing core applications across all aircraft types whilst simultaneously supporting the needs of challenging new applications.  The ALICIA project is uniquely placed to deliver the capability necessary to facilitate the next big step in crew station design.",core,
13,283216,LEMCOTEC,Low Emissions Core-Engine Technologies,"The main objective of the LEMCOTEC project will be the improvement of core-engine thermal efficiency by increasing the overall pressure ratio (OPR) to up to 70 leading to a further reduction of CO2. Since NOx increases with OPR, combustion technologies have to be further developed, at the same time, to at least compensate for this effect. The project will attain and exceed the ACARE targets for 2020 and will be going beyond the CO2 reductions to be achieved by on-going FP6 and FP7 programmes including Clean Sky:1.) CO2: minus 50% per passenger kilometre by 2020, with an engine contribution of 15 to 20%, 2.) NOx: minus 80% by 2020 and 3.) Reduce other emissions: soot, CO, UHC, SOx, particulates.The major technical subjects to be addressed by the project are:1.) Innovative compressor for the ultra-high pressure ratio cycle (OPR 70) and associated thermal management technologies, 2.) Combustor-turbine interaction for higher turbine efficiency & ultra-high OPR cycles, 3.) Low NOx combustion systems for ultra-high OPR cycles, 4.) Advanced structures to enable high OPR engines & integration with heat exchangers, 5.) Reduced cooling requirements and stiffer structures for turbo-machinery efficiency, 6.) HP/IP compressor stability control.The first four subjects will enable the engine industry to extend their design space beyond the overall pressure ratio of 50, which is the practical limit in the latest engines. Rig testing is required to validate the respective designs as well as the simulation tools to be developed.  The last two subjects have already been researched on the last two subjects by NEWAC. The technology developed in NEWAC (mainly component and / or breadboard validation in a laboratory environment) will be driven further in LEMCOTEC for UHPR core engines. These technologies will be validated at a higher readiness level of up to TRL 5 (component and / or breadboard validation in a relevant environment) for ultra-high OPR core-engines.",core,
14,284859,ESPOSA,Efficient Systems and Propulsion for Small Aircraft,"The ESPOSA project will develop and integrate novel design and manufacture technologies for a range of small gas turbine engines up to approx. 1000 kW to provide aircraft manufacturers with better choice of modern propulsion units. It will also deal with engine related systems which contribute to the overall propulsion unit efficiency, safety and pilot workload reduction. Through the newly developed design tools and methodologies for the engine/aircraft integration the project will also contribute to the improved readiness for new turbine engines installation into aircraft. New technologies and knowledge gained through the ESPOSA project will provide European general aviation industry with substantially improved ability to develop and use affordable and environmentally acceptable propulsion units and reliable aircraft systems minimizing operating costs, while increasing the level of safety.  The new engine systems and engine technologies gained from ESPOSA should deliver 10-14% reduction in direct operating costs (DOC) and reduce significantly the pilot workload. The ESPOSA project is oriented on turbine engine technologies tailored for a small aircraft up to 19 seats (under CS-23/FAR23) operated on the scheduled and non-scheduled flights. The research work comprises performance improvements of key engine components, their improved manufacture in terms of costs and quality.  New engine component technologies will be backed by novel modern electronic engine control based on COTS, pioneering the engine health monitoring for small engines and providing new more electric solutions for fuel and propeller control systems. Project activities will include extensive validation on the test rigs. The most appropriate technologies according to value/cost benefit will be selected and integrated into functional complexes and further evaluated on the engine test beds. The functionality of certain project outcomes will also be demonstrated and validated in-flight conditions.",core,
15,605442,ASHLEY,Avionics Systems Hosted on a distributed modular electronics Large scale dEmonstrator for multiple tYpe of aircraft,"In search for a more competitive, multiple types of aircrafts, IMA based, avionics platform solution, the European aerospace industry has recently initiated the IMA2G paradigm thanks to the EC funded SCARLETT project.This latter successfully validated a first underlying set of IMA2G concepts (Separate Core Processing resources from I/O resources, introduce resource segments typology of electronics solutions, provide platform services layer to function supplier etc.),  thus creating the expected Distributed Modular Electronics (DME) breakthrough to lay IMA2G solid rock foundations.The goal of the work within ASHLEY is to go on carrying out research on top of the existing SCARLETT state-of-the-art in areas where innovations are likely to make the most of DME growth potential :• Extension of DME concepts and solutions to other aircraft domains especially the open world domain, leading to the definition of DME security components.• Common remote I/O resources typology including high integrity, time critical remote solutions.• Multi-domains, secured Data Distribution services to streamline aircraft data distribution.• Development of an efficient system designer oriented IMA2G Tooling Framework solution that remains compliant with IMA2G industrial and certification constraints.• Development of a generation of digital i.e. smart sensors based on new advanced photonics technologies.ASHLEY innovations will be supported by advanced processes, methods and tools for an efficient implementation in the future and validated thanks to the ASHLEY Large Scale aircraft representative Demonstrator.By progressing as described above the European Industry will be in a position to offer a common secured multi-domain avionics platform solution across a worldwide range of aircraft types, at a higher level of maturity at entry into service.",core,
16,101102019,HYDEA,HYdrogen DEmonstrator for Aviation,"The HYDEA project, which stands for “HYdrogen DEmonstrator for Aviation”, proposes a robust technology maturation plan to develop an H2C (Hydrogen Combustion) propulsion system compatible with an Entry Into Service of a zero-CO2 low-emission aircraft in 2035, consistently with the expected timeframe of the European Green Deal and CA SRIA objectives. The project aims to address fundamental questions related to the use of hydrogen as an aviation fuel, concentrating on the development and testing in relevant conditions of an H2 combustor and H2 fuel system, also including emission studies and further technologies which will serve as an outlook to future engines, i.e. NOx optimization studies, potential contrails emissions and investigating integration aspects between engine and aircraft. HYDEA results will be core for the ZEROe technology exploration project, launched by Airbus in 2020. The revolutionary technologies in scope call for an early engagement and dialogue with EASA (European Union Aviation Safety Agency) within HYDEA, starting from phase 1.",core,
17,284915,ACTUATION2015,ACTUATION 2015: Modular Electro Mechanical Actuators for ACARE 2020 Aircraft and Helicopters,"The All-Electric Aircraft is a major target for the next generation of aircraft to lower consumption of non-propulsive power and thus fuel burn. To eliminate hydraulic circuits, pumps and reservoirs, Electro Mechanical Actuators (EMA) are mandatory but now need  to meet cost, reliability and weight requirements from the airframers.ACTUATION2015 aims to develop and validate a common set of standardised, modular and scalable EMA resources for all actuators (flight control, high lift, main landing gear, door, thrust reverser) and all types of aircraft (business/regional/commercial airplanes and helicopters).Compared to the A320, ACTUATION2015 will reduce the overall Life Cycle Costs of actuators by 30%, improve reliability by 30% and reduce aircraft weight by 500kg.The project relies on recent advances made in EU and national projects to integrate the required technologies (solid state power distribution, power electronics, operation in harsh conditions, jam tolerant EMA) to overcome the current barriers to EMA and mature EMA technologies to TRL 5.Standardising EMA modules (motors, power drive electronics, mechanics, sensing) will be a key enabler to succeed in achieving cost objectives and developing the supply chain. Standardisation will start during the project with the support of a standardisation body (CEN).The technical approach will be to gather detailed airframes’ requirements, specify a set of standard modules and develop prototypes for assessment at component and actuator level through rig tests and the virtual validation of modules. In parallel, a unified EMA design process supported by standard methods and tools will also be developed.ACTUATION2015 will complement existing projects, notably CLEAN SKY SGO with an EMA solution, and pave the way towards the ACARE 2020 All-Electric Aircraft.ACTUATION2015 is a 4,5 year integrated project comprising 54 partners representing the European stakeholders of the actuation and airframe sectors from 12 countries.",core,
18,101102004,HEAVEN,Hydrogen Engine Architecture Virtually Engineered Novelly,"Climate-neutral aviation will require the use of alternative fuels such as Green Hydrogen and Sustainable Aviation Fuel (SAF) combined with the power density of an ultra-efficient gas turbine engine for the Short and Medium Range (SMR) aircraft market which corresponds to approximately 50% of the current share of air transport emissions. Rolls-Royce (represented within the HEAVEN project by RR-UK & RR-D) supported by key UK and European academia, industry and research centres are currently developing a new generation of very high bypass ratio geared engine architecture called UltraFan® which was started in 2014. From the beginning this ducted engine architecture has been designed to be scalable and meet the needs both of widebody and SMR markets. To achieve the necessary 20% fuel burn reduction Rolls-Royce proposes to significantly evolve the UltraFan design. The evolved engine architecture design will take the next steps in improving the efficiency of the gas turbine, take advantage of the properties of net zero carbon fuels such as Hydrogen to improve efficiency, combining this with Hybrid electric technology to reduce wasted energy. Numerous innovative enabling technologies already at TRL3 will be incorporated into this new architecture to improve the gas turbine efficiency. Together with work on Hydrogen in CAVENDISH (HRA-01) and Hybrid Electric in HE-ART (HER-01) Clean Aviation projects in conjunction with activities in national and regional programmes, this will be synergistically combined to validate up to TRL6 the highly innovative UltraFan design to support a 2035 EIS. HEAVEN brings together a highly specialised European industrial and academic consortium already strongly involved and familiar with the UltraFan programme. Additionally, the partner easyJet, European airline operator who have the largest fleet of European manufactured SMR aircraft operating in Europe, will bring an in depth knowledge of operational requirements and impact in this market.",core,
19,101101967,NEWBORN,NExt generation high poWer fuel cells for airBORNe applications,"NEWBORN focuses on realistic and commercially viable project outcomes significantly exceeding the Call topic Expected Outcomes. This is the only path to bring a real impact, well beyond paperwork and test rigs. With this in mind, the project applies the steppingstone principle and intends to bring aviation graded fuel cells into the market as soon as safely possible. This will generate operational data to support certification on CS-25 aircraft. It will further provide vital acceptance gap mitigation in the conservative air transport environment. The 18 multi-disciplinary partners, including 3 non-traditional aerospace partners and 2 SMEs, will work on 28 key enabling technologies. They will be matured and optimized to support an EIS of CS-23 aircraft by 2030 and regional aircraft by 2035. The ambition of the project is to achieve an overall propulsion system efficiency of 50% by 2026, calculated as a ratio of energy on the propeller shaft to the hydrogen lower heating value. This ambition greatly surpasses the expected outcome of the HPA-02 Call. Similarly, by the end of 2025, the project will demonstrate widely scalable fuel cell power source technology with a power density of >1.2 kW/kg and stack power density of >5 kW/kg. Technologies will be adaptable to different maximum flight altitudes of ≤ FL250 and ≤FL450, and scalable down to ~250kW and reusable for secondary power in SMR flying altitudes by 2026. An innovative cryogenic tank concept will be integrated, demonstrating a gravimetric index of 35% for the CS-23 aircraft and scalable up to 50% for regional aircraft. The project will also address high power density high voltage energy conversion, propulsion systems, and the next generation microtube heat exchangers, along with an accurate digital twin of the overall system. All together, NEWBORN will develop a technology demonstrator prepared for flight demonstration in Clean Aviation Phase 2.",core,
20,101101999,CONCERTO,Construction Of Novel CERTification methOds and means of compliance for disruptive technologies,"Clean Aviation’s ambition to go over decisive impactful steps in demonstrated disruptive aircraft performance compatible with 2035 EIS will only be possible if the future regulatory framework is not an impediment to innovation. Certification shall still improve safety while shortening time to bring new safe products to market and into service, and maintaining European leadership and competitiveness. Having de-risked the certification path is an important step.The project will deliver a comprehensive set of regulatory materials on certification together with preliminary description of methods of compliance applicable to the three """"thrusts"""" of Clean Aviation and a first status of comprehensive digital framework of formalized collaborative tooled and model/simulation-based processes for certification.Critical challenges, tackled through Proof of Concepts for the regional and short and medium range aircrafts, including hydrogen, will be easily transposable and scalable to different product lines and aircraft segments such as general aviation, rotorcraft, business jets or commercial medium-long range affecting the complete fleet.This initiative represents a tremendous opportunity to reinforce European leadership and sovereignty in leveraging our position as the forerunner of worldwide new certification frameworks. The composition of the project consortium reflects a smart mix of aircraft manufacturers (CS-25, CS-23), engine manufacturers (CS-E), equipment manufacturers, research centres, universities, SME and PLM experts. Playing a pivotal role between innovation and the development of safety, security or environmental protection standards, the involvement of EASA experts acting together with industrial and research technical teams for the conception, endorsement of new solutions and enhancement of the international community acceptance is also essential.""""",core,"Core — le projet développe les méthodes de certification et moyens de conformité des technologies Clean Aviation, en coordination avec l'EASA ; il structure directement une fonction du système aéronautique."
21,101256955,DEMETRA,Demonstrator of an Electrified Modern Efficient Transport Regional Aircraft,"In a scenario where the climate change is becoming more and more important, it is pivotal to explore new solutions for a greener mobility that help reduce the emission related with aviation. In this context, the DEMETRA project aims to demonstrate disruptive technologies for regional aviation with high level of maturity, targeting entry into service in 2035. The objective is the validation and feasibility of hybrid propulsion for regional aircraft, as well as the development of innovative technologies for emission reduction. A real scale solution for hybrid powerplant, powered by batteries, is developed and tested on a typical CS25 regional aircraft platform, with tailored modifications to integrate the hybrid powerplant and any necessary ancillary systems needed to validate TRL6 for such technologies. Besides the flight demonstration, other enabling technologies will be tested on ground to validate TRL5 at the end of the project. These technologies include: i) development of a more innovative propeller, together with nacelle and wing, tested in wind tunnel facilities to assess aerodynamic and acoustic performance; ii) development of new control logics and single lever to improve the cockpit operations, tested on specific bench representative of avionics system of the aircraft. Certification activities will also be at the centre of the project, to ensure that each technology identified show readiness not only for technology but also for certification maturation: the return of experience from the flight prototype preparation and the definition and assessment of CRL will help maturate the technologies and show readiness for entry into service in 2035.With such large portfolio of technologies and demonstration, the DEMETRA project aims to prepare real scale solutions to accelerate the introduction of such technologies at the earliest and maximise the impact on the emission, thus identifying itself as a relevant player in the regional aviation decarbonisation context.",core,
22,101102008,TheMa4HERA,Thermal Management for the Hybrid Electric Regional Aircraft,"The TheMa4HERA project takes on the huge challenge of on-board thermal management that comes with the introduction of hybrid electric power and propulsion systems in Regional and Short and Medium Range aircraft. This will be achieved through development, design and testing at TRL 5 of wide range of innovative technologies from Air Supply, to Air Conditioning, Systems Thermal Management to Cabin Air Distribution. Whereas today’s thermal management systems need to handle a heat dissipation of about 35-50kW, tomorrow’s hybrid electric regional aircraft will have to handle heat dissipation in the range of 300 to 1.000kW! With a consortium composed out of all key aerospace players in the market of thermal management, this project will address almost all currently known thermal management technologies. Multiple two-way interactions loops with TRA-01 will be established integration requirements and feedback constraints and validation results, to allow for further aircraft architecture optimization iterations. Through the development of a full digital twin, the project will be able to simulate and optimize component level requirements for any given aircraft architecture. This architecture will be taken from the EXACT project, adjusted and refined throughout the project, to eventually reflect the final Hybrid Electric Aircraft architecture. The project will validate and demonstrate its results in a full-scale demonstration test facility at Fraunhofer IBP. With the further refined models, that will be available by then, the project will also be able to calculate the achievements towards the Expected Outcomes, in particular the environmental footprint. The Communication, Dissemination and Exploitation actions will make sure that all necessary stakeholders will also be supportive to the EIS of the first Hybrid Electric Regional Aircraft relying on TheMa4HERA thermal management technologies.",core,
