group_lei,group_name,org_name,org_country,decision,confidence,is_jv,share,status,valid_from,valid_to,evidence,source
,Siemens Aktiengesellschaft,SIEMENS OOO,RU,attach,0.9,false,,,,,Filiale Siemens — dénomination du groupe,siemens.com · registres nationaux
,Siemens Aktiengesellschaft,SIEMENS MOBILITY BV,NL,attach,0.9,false,,,,,Filiale Siemens — dénomination du groupe,siemens.com · registres nationaux
,Siemens Aktiengesellschaft,SIEMENS TRANSPORTATION SYSTEMS SAS,FR,attach,0.9,false,,,,,Filiale Siemens — dénomination du groupe,siemens.com · registres nationaux
,Siemens Aktiengesellschaft,SIEMENS SANAYI VE TICARET AS,TR,attach,0.9,false,,,,,Filiale Siemens — dénomination du groupe,siemens.com · registres nationaux
,Siemens Aktiengesellschaft,SIEMENS CONCENTRATED SOLAR POWER LTD,IL,attach,0.9,false,,,,,Filiale Siemens — dénomination du groupe,siemens.com · registres nationaux
,Siemens Aktiengesellschaft,SIEMENS TRGOVSKO IN STORITVENO PODJETJE DOO,SI,attach,0.9,false,,,,,Filiale Siemens — dénomination du groupe,siemens.com · registres nationaux
,Siemens Aktiengesellschaft,SIEMENS LASER ANALYTICS AB,SE,attach,0.9,false,,,,,Filiale Siemens — dénomination du groupe,siemens.com · registres nationaux
,Siemens Aktiengesellschaft,SIEMENS AS,DK,attach,0.9,false,,,,,Filiale Siemens — dénomination du groupe,siemens.com · registres nationaux
,Siemens Aktiengesellschaft,SIEMENS CORPORATE RESEARCH INC,US,attach,0.9,false,,,,,Filiale Siemens — dénomination du groupe,siemens.com · registres nationaux
,Siemens Aktiengesellschaft,Siemens Healthcare Saglik a.s.,TR,attach,0.9,false,,,,,Filiale Siemens — dénomination du groupe,siemens.com · registres nationaux
,Siemens Aktiengesellschaft,SIEMENS ELECTRONIC DESIGN AUTOMATION LTD,IL,attach,0.9,false,,,,,Filiale Siemens — dénomination du groupe,siemens.com · registres nationaux
,Siemens Aktiengesellschaft,Siemens Mobility Kft,HU,attach,0.9,false,,,,,Filiale Siemens — dénomination du groupe,siemens.com · registres nationaux
,Siemens Aktiengesellschaft,SIEMENS ENERGY SAS,FR,attach,0.9,false,,,,,Filiale Siemens — dénomination du groupe,siemens.com · registres nationaux
,Siemens Aktiengesellschaft,SIEMENS HEALTHCARE SRO,SK,attach,0.9,false,,,,,Filiale Siemens — dénomination du groupe,siemens.com · registres nationaux
,Siemens Aktiengesellschaft,SIEMENS ENERGY AUSTRIA GMBH,AT,attach,0.9,false,,,,,Filiale Siemens — dénomination du groupe,siemens.com · registres nationaux
,Siemens Aktiengesellschaft,Siemens Healthineers BV,,attach,0.9,false,,,,,Filiale Siemens — dénomination du groupe,siemens.com · registres nationaux
,Siemens Aktiengesellschaft,Siemens AG Wind Power and Renewables Division Technology,DE,attach,0.9,false,,,,,Filiale Siemens — dénomination du groupe,siemens.com · registres nationaux
,Siemens Aktiengesellschaft,Siemens Healthcare Switzerland AG,,attach,0.9,false,,,,,Filiale Siemens — dénomination du groupe,siemens.com · registres nationaux
,Siemens Aktiengesellschaft,Siemens,DE,attach,0.9,false,,,,,Filiale Siemens — dénomination du groupe,siemens.com · registres nationaux
,Siemens Aktiengesellschaft,SIEMENS ENERGY UNIPESSOAL LDA,PT,attach,0.9,false,,,,,Filiale Siemens — dénomination du groupe,siemens.com · registres nationaux
,Siemens Aktiengesellschaft,SIEMENS ENERGY SRL,IT,attach,0.9,false,,,,,Filiale Siemens — dénomination du groupe,siemens.com · registres nationaux
,Siemens Aktiengesellschaft,SIEMENS GAMESA RENEWABLE ENERGY GMBH CO KG,DE,attach,0.9,false,,,,,Filiale Siemens — dénomination du groupe,siemens.com · registres nationaux
,Infineon Technologies AG,INFINEON TECHNOLOGIES ITALIA SRL,IT,attach,0.95,false,,,,,Filiale Infineon Technologies — dénomination du groupe,infineon.com · registres nationaux
,Infineon Technologies AG,Infineon Technologies Romania and CO. Societate in Comandita Simpla,RO,attach,0.95,false,,,,,Filiale Infineon Technologies — dénomination du groupe,infineon.com · registres nationaux
,Infineon Technologies AG,Infineon Technologies UK Ltd,GB,attach,0.95,false,,,,,Filiale Infineon Technologies — dénomination du groupe,infineon.com · registres nationaux
,Infineon Technologies AG,INFINEON TECHNOLOGIES LINZ GMBH & CO KG,AT,attach,0.95,false,,,,,Filiale Infineon Technologies — dénomination du groupe,infineon.com · registres nationaux
,Infineon Technologies AG,INFINEON TECHNOLOGIES DUISBURG GMBH& CO. KG,DE,attach,0.95,false,,,,,Filiale Infineon Technologies — dénomination du groupe,infineon.com · registres nationaux
,Infineon Technologies AG,INFINEON TECHNOLOGIES CEGLED TELJESITMENYFELVEZETOKET GYARTO KORLATOLT FELELOSSEGU TARSASAG,HU,attach,0.95,false,,,,,Filiale Infineon Technologies — dénomination du groupe,infineon.com · registres nationaux
,Infineon Technologies AG,INFINEON TECHNOLOGIES FRANCE,FR,attach,0.95,false,,,,,Filiale Infineon Technologies — dénomination du groupe,infineon.com · registres nationaux
,Infineon Technologies AG,"INFINEON TECHNOLOGIES MANUFACTURING PORTO, UNIPESSOAL LDA",PT,attach,0.95,false,,,,,Filiale Infineon Technologies — dénomination du groupe,infineon.com · registres nationaux
,Infineon Technologies AG,INFINEON TECHNOLOGIES IRELAND LIMITED,IE,attach,0.95,false,,,,,Filiale Infineon Technologies — dénomination du groupe,infineon.com · registres nationaux
,Infineon Technologies AG,INFINEON TECHNOLOGIES SENSONOR AS,NO,attach,0.95,false,,,,,Filiale Infineon Technologies — dénomination du groupe,infineon.com · registres nationaux
,Van Andel Institute,VAN ANDEL INSTITUTE GRADUATE SCHOOL,US,attach,0.95,false,,,,,"École doctorale du Van Andel Institute — même campus, même fondation",vanandelinstitute.org
,RISE RESEARCH INSTITUTES OF SWEDEN AB,RISE RESEARCH INSTITUTES OF SWEDEN AB,SE,attach,0.95,false,,,,,RISE — même dénomination que la tête de groupe (pont bloqué par un doublon du corpus),ri.se · GLEIF
,RISE RESEARCH INSTITUTES OF SWEDEN AB,RISE Research Institutes of Sweden,SE,attach,0.95,false,,,,,RISE — même dénomination que la tête de groupe (pont bloqué par un doublon du corpus),ri.se · GLEIF
,GENERAL ELECTRIC COMPANY,GENERAL ELECTRIC GLOBAL RESEARCH CTR,US,attach,0.9,false,,,,,Filiale General Electric — dénomination du groupe,ge.com · registres nationaux
,GENERAL ELECTRIC COMPANY,GENERAL ELECTRIC DEUTSCHLAND HOLDING GMBH,DE,attach,0.9,false,,,,,Filiale General Electric — dénomination du groupe,ge.com · registres nationaux
,GENERAL ELECTRIC COMPANY,GENERAL ELECTRIC RENOVABLES ESPANA,ES,attach,0.9,false,,,,,Filiale General Electric — dénomination du groupe,ge.com · registres nationaux
,GENERAL ELECTRIC COMPANY,GENERAL ELECTRIC (SWITZERLAND) GMBH,CH,attach,0.9,false,,,,,Filiale General Electric — dénomination du groupe,ge.com · registres nationaux
,GENERAL ELECTRIC COMPANY,General Electric Company dba GE Research,US,attach,0.9,false,,,,,Filiale General Electric — dénomination du groupe,ge.com · registres nationaux
,GENERAL ELECTRIC COMPANY,GENERAL ELECTRIC HEALTHCARE ESPANA SA,ES,attach,0.9,false,,,,,Filiale General Electric — dénomination du groupe,ge.com · registres nationaux
,Nokia Oyj,NOKIA SOLUTIONS AND NETWORKS GMBH &CO KG,DE,attach,0.9,false,,,,,Filiale Nokia — dénomination du groupe,nokia.com · registres nationaux
,Nokia Oyj,NOKIA BELL LABS FRANCE,FR,attach,0.9,false,,,,,Filiale Nokia — dénomination du groupe,nokia.com · registres nationaux
,Nokia Oyj,NOKIA SOLUTIONS AND NETWORKS ITALIA SPA,IT,attach,0.9,false,,,,,Filiale Nokia — dénomination du groupe,nokia.com · registres nationaux
,Nokia Oyj,NOKIA SOLUTIONS AND NETWORKS ISRAEL LTD,IL,attach,0.9,false,,,,,Filiale Nokia — dénomination du groupe,nokia.com · registres nationaux
,Nokia Oyj,NOKIA DENMARK AS,DK,attach,0.9,false,,,,,Filiale Nokia — dénomination du groupe,nokia.com · registres nationaux
,Nokia Oyj,NOKIA SOLUTIONS AND NETWORKS MANAGEMENT INTERNATIONAL GMBH,DE,attach,0.9,false,,,,,Filiale Nokia — dénomination du groupe,nokia.com · registres nationaux
,Nokia Oyj,NOKIA SOLUTIONS AND NETWORKS KFT,HU,attach,0.9,false,,,,,Filiale Nokia — dénomination du groupe,nokia.com · registres nationaux
,Nokia Oyj,NOKIA TECHNOLOGIES OY,FI,attach,0.9,false,,,,,Filiale Nokia — dénomination du groupe,nokia.com · registres nationaux
,Nokia Oyj,NOKIA SOLUTIONS AND NETWORKS HELLAS SINGLE MEMBER SA,GR,attach,0.9,false,,,,,Filiale Nokia — dénomination du groupe,nokia.com · registres nationaux
,Nokia Oyj,Nokia of America Corporation,US,attach,0.9,false,,,,,Filiale Nokia — dénomination du groupe,nokia.com · registres nationaux
